units,process,Tilden,Hibbing,United,Minorca,Northshore
WLT/Yr,ROM Ore,60360000,60466666.67,38012500,16566666.67,28960000
WLT/Yr,Crushed Ore,20500000,28083000,14920000,8460000,16860000
WLT/Yr,Concentrated Ore,8770640,7400230,5209000,2823400,4454221
WLT/Yr,Tailings,12593329,6266000,9239000,6320300,3258928.05
WLT/Yr,Iron Ore Pellets,7457805,7400230,4841000,2787480,4541386
kWh/LTP,Mining,10.56,5.419861815,6.17,9.57,8.43
kWh/LTP,Comminution (Crushing),8.64,1.699663584,10.57,9.09,9.79
kWh/LTP,Beneficiation (Concentration),58.5495405,107.89,67.45,67.63,72.68
kWh/LTP,Pelletization,23.62080378,47.46,32.75,49.51,40.88
gal/LTP,Mining,1.20563222,0.89641912,0.851549267,0.732247048,0.540185089
MMBtu/LTP,Beneficiation (Concentration),1.294814579,0,0,0,0
MMBtu/LTP,Pelletization,1.1192,0.4,0.742912828,0.55,0.62
